ID,Question,Answer,Category,AI-generated questions,Data Source,Formula required,User identification required,Last Update Date/Time,Last Update by
00002,Wann fängt die Schule an und wann ist sie aus?  ,Der Unterricht beginnt um 8:00 Uhr und endet um 15:00 Uhr.,Tagesablauf und Stundenplan,ChatGPT,Internal database,WAHR,WAHR,08/11/2024 12:11:00,Andre
00005,Wann gibt es Mittagessen?  ,Das Mittagessen beginnt um 12:00 Uhr.,Tagesablauf und Stundenplan,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00007,Wie lange dauert eine Stunde?  ,Eine Unterrichtsstunde dauert 45 Minuten.,Tagesablauf und Stundenplan,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00008,"Woher weiß ich, ob eine Stunde ausfällt?  ",Du kannst das im Vertretungsplan sehen oder deine Lehrerin fragen.,Tagesablauf und Stundenplan,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00009,Wer unterrichtet dieses Fach heute?  ,Heute unterrichtet Frau Schmidt das Fach.,Tagesablauf und Stundenplan,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00010,Muss ich heute länger in der Schule bleiben?,Heute hast du bis 14:00 Uhr Schule. ,Tagesablauf und Stundenplan,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00011,Wie finde ich die Turnhalle?  ,"Die Turnhalle ist im Erdgeschoss, gleich neben der Aula.",Räume und Orientierung in der Schule,ChatGPT,Human input,FALSCH,FALSCH,08/11/2024 12:13:00,Andre
00012,Wo ist die Toilette?  ,Die Toiletten sind im Erdgeschoss links vom Eingang.,Räume und Orientierung in der Schule,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00013,Wie komme ich zur Bibliothek?  ,Die Bibliothek ist im ersten Stock. Gehe die Treppe hoch und dann links.,Räume und Orientierung in der Schule,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00014,In welchem Raum habe ich Mathe?  ,Dein Matheunterricht ist im Raum 207. ,Räume und Orientierung in der Schule,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00015,"Wo kann ich hingehen, wenn ich Hilfe bei den Hausaufgaben brauche?  ",Für Hausaufgabenhilfe kannst du in den Lernraum gehen oder deinen Lehrer fragen.,Räume und Orientierung in der Schule,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00016,Welche Hausaufgaben habe ich heute auf?  ,"Heute hast du Mathe-Aufgaben auf, Seite 12, Nummer 3 und 4.",Hausaufgaben und Lernen,ChatGPT,Internal database,WAHR,WAHR,04/11/2024 13:51:00,Carrie
00017,Kannst du mir bei meinen Mathe-Hausaufgaben helfen?  ,"Ich kann dir einige Tipps geben! Wenn es schwierig ist, frag am besten deine Lehrerin.",Hausaufgaben und Lernen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00018,Wie kann ich für die nächste Klassenarbeit lernen?  ,"Fang früh mit dem Lernen an, mach kleine Pausen und übe oft!",Hausaufgaben und Lernen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00019,"Was passiert, wenn ich meine Hausaufgaben vergesse?  ","Wenn du sie vergessen hast, sag deinem Lehrer Bescheid. Versuch, sie schnell nachzuholen!",Hausaufgaben und Lernen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00020,Wie kann ich meine Hausaufgaben gut organisieren?  ,"Du könntest dir einen Plan schreiben oder eine App nutzen, um alles im Blick zu behalten.",Hausaufgaben und Lernen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00021,Wo finde ich mehr Lernmaterial?  ,Frag deinen Lehrer oder schau in der Bibliothek oder online nach Lernhilfen.,Hausaufgaben und Lernen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00022,Was sind die Regeln im Klassenraum?  ,"Im Klassenraum hören wir gut zu, melden uns und sind freundlich zueinander.",Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00023,Darf ich mein Handy in der Schule benutzen?  ,"In der Schule darfst du dein Handy nur in den Pausen benutzen, wenn der Lehrer es erlaubt.",Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00024,Wo darf ich mein Mittagessen essen?  ,Du kannst in der Mensa oder in der Pausenhalle essen.,Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00025,"Was soll ich tun, wenn ich mich krank fühle?  ",Sag einem Lehrer Bescheid. Du kannst auch ins Krankenzimmer gehen.,Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00026,Wie soll ich mich im Unterricht verhalten?  ,"Hör gut zu, sei freundlich und hilfsbereit, und mach bei den Aufgaben mit.",Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00027,"Was soll ich tun, wenn ich den Klassenraum verlassen muss?  ","Bitte deinen Lehrer um Erlaubnis, bevor du gehst.",Regeln und Verhaltensweisen,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00028,"Was kann ich tun, wenn ich traurig oder aufgeregt bin?  ","Sprich mit einem Lehrer oder Freund, oder geh in den Ruhe-Raum, wenn es dir hilft.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00029,"Mit wem kann ich sprechen, wenn es mir nicht gut geht?  ","Du kannst mit deinem Lehrer, Schulsozialarbeiter oder einem Vertrauenslehrer sprechen.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00030,Wie kann ich Freunde finden?  ,"Versuche, freundlich zu sein, mit anderen zu sprechen und bei Gruppenaktivitäten mitzumachen.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00031,"Was soll ich tun, wenn jemand gemein zu mir ist?  ","Geh zu einem Lehrer und erzähl ihm, was passiert ist.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00032,"Wo kann ich hingehen, wenn ich einen ruhigen Ort brauche?  ","Im Ruhe-Raum kannst du dich entspannen. Frag einen Lehrer, wo er ist.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00033,"Was kann ich tun, wenn ich Angst vor einem Test habe?  ","Atme tief durch, bereite dich gut vor, und sprich mit deinem Lehrer darüber.",Soziale und emotionale Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00034,Wie kann ich Hilfe beim Lesen bekommen?  ,Du kannst deinen Lehrer um Unterstützung oder zusätzliche Materialien bitten.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00035,Kann mir jemand bei meinen Schreibaufgaben helfen?  ,Du kannst deinen Lehrer fragen oder in den Lernraum gehen.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00036,Gibt es Unterstützung bei Lernschwierigkeiten?  ,Sprich mit deinem Lehrer oder Schulberater für extra Hilfe.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00037,"Wo bekomme ich Hilfe, wenn ich etwas nicht verstehe?  ",Du kannst jederzeit deinen Lehrer oder Mitschüler fragen.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00038,Wie kann ich extra Zeit für einen Test bekommen?  ,Sprich mit deinem Lehrer oder deinem Förderlehrer.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00039,"Wer hilft mir, mein Hilfsmittel zu benutzen?  ",Dein Förderlehrer oder der Schulassistent kann dir helfen.,Besondere Hilfe und Unterstützung,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
00040,"Was soll ich tun, wenn ich meine Medizin nehmen muss?  ",Geh zum Krankenzimmer und nimm dort deine Medizin ein.,Gesundheit und Wohlbefinden,ChatGPT,Human input,FALSCH,FALSCH,04/11/2024 13:51:00,Carrie
